voter,rawScore
0xbc58d12bc5c88a00391927581ae28d0e4d54e9e0,19.71
0x763607d0276044b8fd5f62713a1923593cb9e0b2,31.91
0x986eca7648b3f9349cf66831a5367cf3490e232f,19.7
0x00ddef650c58176506f692cc4424772bba64c639,23.49
0x7b753919b953b1021a33f55671716dc13c1eae08,25.33
0x2e16c725a650390220a7b778b4d750dc75801e53,1.67
0xa81698817f79d2894a5ee806d3634a3811c6abf4,25.34
0x14291562c0deb847e1548d3b1a6b27f21b362e46,20.75
0x63cd8e96cc72f5fc11705611bde948711fd17067,32.22
0xb90781ceb500f80a9c101225ed5451449a3aa5bc,42.92
0x8214e4ab4fd9212b7e14d97cc0bba6b9f4c37feb,25.02
0x511406cb0b446a4cde4eea637d8bff4ef78fc910,21.17
0x3209e775ffa1cfcf1f4a2edff326b730371b1c4a,19.29
0x771545260104129f64f75a236ff769e16dde58c1,19.29
0x5f62ece59fbba2bae1654e9b69bbfa4e4d5b329b,35.45
0x04264a308eb85d64138590d32c2e0686e6847e9c,16.17
0x742f777da449a0528d677ecf482e908ffbdf9189,16.79
0x18d60a81a01fb694d943640ab41be40177c71158,36.8
0x0c77c848febd7cee88b89e89975a5c45eaf540df,16.16
0xda436db56e7d5d7ceeb20003fc63acd4d8b465ba,26.14
0xd510786ef4aa86650af98b306deaaec138dd4626,27.54
0xb2739b8ead8c553062104c8d5264c5141981392e,29.27
0xeaeca099584672fbda4ff5a01f23a3d08bfde548,1.67
0xa03d81c3e58fd0ed973f7b2f73f0e26bdfd0f143,24.68
0x98cbe9f936a2e5776506eea67b958f66aa4ba55c,42.02
0xcf56cafba8c968a4dbcc83b83cde4a962386e8d7,37.52
0x3fd30b1ba380bbfb802c5e6f7b833c9a55345488,40.76
0xb363b90d8da0f52df6166b1e3938c7241d1bff13,21.17
0x2632f1d2bc03f31d869b868b875a091f35247efb,25.23
0xa38e40797faa6ecbcfa4a64f14c7622d090e8a31,35.97
0xa1453b2e5d0d54816a0965923d5785cf6f55b660,16.27
0x34049d65d74a43369a30e73199553ffdbf71e702,27.87
0x4d11aaa69158595085d13d5e1a2b22c1d0d5f348,28.08
0xb4dc4c7460c58e7652cd615675a1f707ebb67e9a,39.31
